City,Airport,IATA Siglum,URL,Latitude,Longitude
Portugal,Beja International Airport,BYJ/LPBJ,https://www.flightradar24.com/data/airports/byj,38.078888,-7.9325
Portugal,Braga Airport,BGZ/LPBR,https://www.flightradar24.com/data/airports/bgz,41.587101,-8.44514
Portugal,Braganca Airport,BGC/LPBG,https://www.flightradar24.com/data/airports/bgc,41.8578,-6.70712
Portugal,Cascais Municipal Aerodrome,CAT/LPCS,https://www.flightradar24.com/data/airports/cat,38.725555,-9.355278
Portugal,Chaves Airport,CHV/LPCH,https://www.flightradar24.com/data/airports/chv,41.722324,-7.46315
Portugal,Coimbra Airport,CBP/LPCO,https://www.flightradar24.com/data/airports/cbp,40.1572,-8.47
Portugal,Corvo Airport,CVU/LPCR,https://www.flightradar24.com/data/airports/cvu,39.671379,-31.1166
Portugal,Faro Airport,FAO/LPFR,https://www.flightradar24.com/data/airports/fao,37.01442,-7.96591
Portugal,Flores Airport,FLW/LPFL,https://www.flightradar24.com/data/airports/flw,39.455269,-31.1313
Portugal,Funchal Cristiano Ronaldo Airport,FNC/LPMA,https://www.flightradar24.com/data/airports/fnc,32.69788,-16.774401
Portugal,Graciosa Airport,GRW/LPGR,https://www.flightradar24.com/data/airports/grw,39.092159,-28.0298
Portugal,Horta Airport,HOR/LPHR,https://www.flightradar24.com/data/airports/hor,38.51989,-28.715799
Portugal,Lajes Field,TER/LPLA,https://www.flightradar24.com/data/airports/ter,38.761841,-27.0907
Portugal,Lisbon Humberto Delgado Airport,LIS/LPPT,https://www.flightradar24.com/data/airports/lis,38.781311,-9.13591
Portugal,Pico Airport,PIX/LPPI,https://www.flightradar24.com/data/airports/pix,38.554329,-28.441299
Portugal,Ponta Delgada Joao Paulo II Airport,PDL/LPPD,https://www.flightradar24.com/data/airports/pdl,37.74118,-25.6978
Portugal,Portimao Airport,PRM/LPPM,https://www.flightradar24.com/data/airports/prm,37.1493,-8.58396
Portugal,Porto Francisco de Sa Carneiro Airport,OPO/LPPR,https://www.flightradar24.com/data/airports/opo,41.248051,-8.68138
Portugal,Porto Santo Airport,PXO/LPPS,https://www.flightradar24.com/data/airports/pxo,33.07338,-16.349899
Portugal,Santa Maria Airport,SMA/LPAZ,https://www.flightradar24.com/data/airports/sma,36.97139,-25.170601
Portugal,Sao Jorge Airport,SJZ/LPSJ,https://www.flightradar24.com/data/airports/sjz,38.665501,-28.1758
Portugal,Vila Real Airport,VRL/LPVR,https://www.flightradar24.com/data/airports/vrl,41.27433,-7.72047
Portugal,Viseu Airport,VSE/LPVZ,https://www.flightradar24.com/data/airports/vse,40.725498,-7.88899
Uzbekistan,Andizhan Airport,AZN/UTFA,https://www.flightradar24.com/data/airports/azn,40.72773,72.294006
Bahamas,Andros Town International Airport,ASD/MYAF,https://www.flightradar24.com/data/airports/asd,24.69828,-77.795601
Uzbekistan,Bukhara International Airport,BHK/UTSB,https://www.flightradar24.com/data/airports/bhk,39.775002,64.48333
Uzbekistan,Fergana International Airport,FEG/UTFF,https://www.flightradar24.com/data/airports/feg,40.358761,71.745018
Uzbekistan,Karshi Airport,KSQ/UTSK,https://www.flightradar24.com/data/airports/ksq,38.803333,65.773331
Uzbekistan,Namangan Airport,NMA/UTFN,https://www.flightradar24.com/data/airports/nma,40.98457,71.55674
Uzbekistan,Navoi International Airport,NVI/UTSA,https://www.flightradar24.com/data/airports/nvi,40.117771,65.175003
Uzbekistan,Nukus Airport,NCU/UTNN,https://www.flightradar24.com/data/airports/ncu,42.488411,59.623249
Uzbekistan,Samarkand International Airport,SKD/UTSS,https://www.flightradar24.com/data/airports/skd,39.700539,66.983818
Uzbekistan,Tashkent International Airport,TAS/UTTT,https://www.flightradar24.com/data/airports/tas,41.257858,69.281181
Uzbekistan,Termez Airport,TMJ/UTST,https://www.flightradar24.com/data/airports/tmj,37.280502,67.318954
Uzbekistan,Urgench International Airport,UGC/UTNU,https://www.flightradar24.com/data/airports/ugc,41.584835,60.63303
Bahamas,Arthur's Town Airport,ATC/MYCA,https://www.flightradar24.com/data/airports/atc,24.628611,-75.671387
Bahamas,Cat Cays Airport,CXY/MYCC,https://www.flightradar24.com/data/airports/cxy,25.6,-79.266998
Bahamas,Chub Cay International Airport,CCZ/MYBC,https://www.flightradar24.com/data/airports/ccz,25.417101,-77.880798
Bahamas,Crooked Island Colonel Hill Airport,CRI/MYCI,https://www.flightradar24.com/data/airports/cri,22.75,-74.150002
Bahamas,Deadman's Cay Airport,LGI/MYLD,https://www.flightradar24.com/data/airports/lgi,23.17901,-75.093498
Bahamas,Freeport Grand Bahama International Airport,FPO/MYGF,https://www.flightradar24.com/data/airports/fpo,26.55868,-78.695503
Bahamas,George Town Exuma International Airport,GGT/MYEF,https://www.flightradar24.com/data/airports/ggt,23.56263,-75.877899
Bahamas,Governor's Harbour Airport,GHB/MYEM,https://www.flightradar24.com/data/airports/ghb,25.2847,-76.331001
Bahamas,Great Harbour Cay Airport,GHC/MYBG,https://www.flightradar24.com/data/airports/ghc,25.7383,-77.840103
Bahamas,Inagua Matthew Town Airport,IGA/MYIG,https://www.flightradar24.com/data/airports/iga,20.975,-73.666801
Bahamas,Marsh Harbour Airport,MHH/MYAM,https://www.flightradar24.com/data/airports/mhh,26.5114,-77.083397
Bahamas,Mayaguana Airport,MYG/MYMM,https://www.flightradar24.com/data/airports/myg,22.37952,-73.013496
Bahamas,Nassau Lynden Pindling International Airport,NAS/MYNN,https://www.flightradar24.com/data/airports/nas,25.03895,-77.466202
Bahamas,New Bight Airport,TBI/MYCB,https://www.flightradar24.com/data/airports/tbi,24.315001,-75.453613
Bahamas,Norman's Cay Airport,NMC/MYEN,https://www.flightradar24.com/data/airports/nmc,24.594299,-76.820198
Bahamas,North Eleuthera Airport,ELH/MYEH,https://www.flightradar24.com/data/airports/elh,25.474859,-76.683403
Bahamas,Rock Sound International Airport,RSD/MYER,https://www.flightradar24.com/data/airports/rsd,24.891701,-76.177696
Bahamas,San Andros Airport,SAQ/MYAN,https://www.flightradar24.com/data/airports/saq,25.05381,-78.048897
Bahamas,San Salvador Airport,ZSA/MYSM,https://www.flightradar24.com/data/airports/zsa,24.063271,-74.523903
Bahamas,South Bimini Airport,BIM/MYBS,https://www.flightradar24.com/data/airports/bim,25.699881,-79.264603
Bahamas,Spring Point Airport,AXP/MYAP,https://www.flightradar24.com/data/airports/axp,22.44182,-73.970802
Bahamas,Staniel Cay Airport,TYM/MYES,https://www.flightradar24.com/data/airports/tym,24.1691,-76.439102
Bahamas,Stella Maris Airport,SML/MYLS,https://www.flightradar24.com/data/airports/sml,23.58144,-75.270401
Bahamas,Treasure Cay Airport,TCB/MYAT,https://www.flightradar24.com/data/airports/tcb,26.745331,-77.391197
Bahamas,West End Airport,WTD/MYGW,https://www.flightradar24.com/data/airports/wtd,26.68527,-78.974998
Italy,Albenga Clemente Panero International Airport,ALL/LIMG,https://www.flightradar24.com/data/airports/all,44.050598,8.127428
Italy,Alghero Fertilia Airport,AHO/LIEA,https://www.flightradar24.com/data/airports/aho,40.63213,8.290772
Italy,Ancona Airport,AOI/LIPY,https://www.flightradar24.com/data/airports/aoi,43.616341,13.36231
